id,children,depth,followers,has_steps,hierarchy,prerequisites,progress_id,root_id,root_title,title,topological_index,is_deprecated,theory,root_subgroup_title,parent_id,verification_step,url
1977,[],6,[278],True,"[1162, 1163, 521, 1606, 1608, 278]","[283, 274]",2-1977,1162,Computer science,Heapsort,1267,False,18095,Fundamentals,278,,https://hyperskill.org/topics/1977
269,[],6,"[1677, 278]",True,"[1162, 1163, 521, 1606, 1608, 278]","[1521, 274]",2-269,1162,Computer science,Insertion sort,1270,False,4963,Fundamentals,278,3172,https://hyperskill.org/topics/269
273,[],6,"[1677, 278]",True,"[1162, 1163, 521, 1606, 1608, 278]","[410, 144, 274]",2-273,1162,Computer science,Merge sort,1271,False,4964,Fundamentals,278,3379,https://hyperskill.org/topics/273
1769,[],6,[1764],True,"[1162, 1164, 73, 1258, 158, 1764]","[28, 1126, 608, 168, 83, 12, 1495, 157, 45, 740]",2-1769,1162,Computer science,Memento,1276,False,16528,Programming languages,1764,,https://hyperskill.org/topics/1769
1535,[],6,[1662],True,"[1162, 1163, 520, 1656, 1658, 1662]","[606, 693, 1473]",2-1535,1162,Computer science,Explain plan,1279,False,14745,Fundamentals,1662,,https://hyperskill.org/topics/1535
1760,[],6,"[805, 1731]",True,"[1162, 1163, 357, 1186, 1730, 1731]","[1732, 741]",2-1760,1162,Computer science,Singleton,1285,False,16469,Fundamentals,1731,,https://hyperskill.org/topics/1760
1833,[],6,"[382, 1731]",True,"[1162, 1163, 357, 1186, 1730, 1731]","[1732, 1756, 741]",2-1833,1162,Computer science,Abstract factory,1294,False,17108,Fundamentals,1731,,https://hyperskill.org/topics/1833
382,[],6,[1763],True,"[1162, 1164, 73, 1258, 158, 1763]","[124, 160, 324, 1833]",2-382,1162,Computer science,Abstract factory,1295,False,5732,Programming languages,1763,5737,https://hyperskill.org/topics/382
1911,[],6,"[1980, 1960, 1912, 1910]",True,"[1162, 1163, 357, 1186, 1730, 1910]","[157, 1622]",2-1911,1162,Computer science,Structural design patterns,1299,False,17649,Fundamentals,1910,,https://hyperskill.org/topics/1911
310,[],6,[1271],True,"[1162, 1164, 73, 194, 1271]","[6, 150]",2-310,1162,Computer science,Object interning,1301,False,5040,Programming languages,1271,3017,https://hyperskill.org/topics/310
1299,[],6,[1271],True,"[1162, 1164, 73, 194, 1271]","[115, 192, 150]",2-1299,1162,Computer science,Class Loader,1302,False,12593,Programming languages,1271,12600,https://hyperskill.org/topics/1299
472,[],6,"[292, 338]",True,"[1162, 1163, 521, 1606, 1607, 292]","[886, 322]",2-472,1162,Computer science,String hashing,1316,False,6420,Fundamentals,292,6424,https://hyperskill.org/topics/472
338,[],6,[320],True,"[1162, 1163, 521, 1606, 1620, 320]","[321, 472]",2-338,1162,Computer science,Rabin-Karp algorithm,1329,False,5267,Fundamentals,320,5285,https://hyperskill.org/topics/338
1235,[],6,"[1661, 1971]",True,"[1162, 1163, 520, 1656, 1658, 1661]",[1172],2-1235,1162,Computer science,Understanding Transactions,1338,False,12357,Fundamentals,1661,12360,https://hyperskill.org/topics/1235
1980,[],6,[1910],True,"[1162, 1163, 357, 1186, 1730, 1910]","[887, 1911]",2-1980,1162,Computer science,Composite pattern,1342,False,18148,Fundamentals,1910,,https://hyperskill.org/topics/1980
285,[],6,[278],True,"[1162, 1163, 521, 1606, 1608, 278]",[274],2-285,1162,Computer science,Bubble sort,1349,False,4962,Fundamentals,278,3165,https://hyperskill.org/topics/285
289,[],6,[278],True,"[1162, 1163, 521, 1606, 1608, 278]","[144, 274]",2-289,1162,Computer science,Quick sort,1350,False,4965,Fundamentals,278,3377,https://hyperskill.org/topics/289
1960,[],6,[1910],True,"[1162, 1163, 357, 1186, 1730, 1910]",[1911],2-1960,1162,Computer science,Bridge pattern,1366,False,17964,Fundamentals,1910,,https://hyperskill.org/topics/1960
1912,[],6,[1910],True,"[1162, 1163, 357, 1186, 1730, 1910]",[1911],2-1912,1162,Computer science,Adapter pattern,1367,False,17657,Fundamentals,1910,,https://hyperskill.org/topics/1912
1790,[],6,[1731],True,"[1162, 1163, 357, 1186, 1730, 1731]",[1732],2-1790,1162,Computer science,Builder pattern,1369,False,16735,Fundamentals,1731,,https://hyperskill.org/topics/1790
337,[],6,[1615],True,"[1162, 1163, 521, 1606, 1620, 1615]",[322],2-337,1162,Computer science,Hamming distance,1504,False,5240,Fundamentals,1615,5245,https://hyperskill.org/topics/337
291,[],6,[278],True,"[1162, 1163, 521, 1606, 1608, 278]",[274],2-291,1162,Computer science,Selection sort,1507,False,4961,Fundamentals,278,3374,https://hyperskill.org/topics/291
286,[],6,[278],True,"[1162, 1163, 521, 1606, 1608, 278]",[274],2-286,1162,Computer science,Counting sort,1508,False,4983,Fundamentals,278,3180,https://hyperskill.org/topics/286
115,[],7,"[116, 17, 7, 96, 124, 1262, 1299]",True,"[1162, 1164, 73, 1258, 251, 13, 1262]","[985, 9, 4, 191, 117]",2-115,1162,Computer science,Defining classes,73,False,3618,Programming languages,1262,2946,https://hyperskill.org/topics/115
116,[],7,"[28, 38, 78, 1087, 1086, 1262, 167, 1392]",True,"[1162, 1164, 73, 1258, 251, 13, 1262]","[1038, 99, 115]",2-116,1162,Computer science,Instance methods,74,False,3495,Programming languages,1262,2953,https://hyperskill.org/topics/116
17,[],7,"[28, 8, 120, 38, 1087, 1088, 1262, 167, 125, 716]",True,"[1162, 1164, 73, 1258, 251, 13, 1262]","[1038, 115]",2-17,1162,Computer science,Constructor,75,False,3535,Programming languages,1262,2159,https://hyperskill.org/topics/17
28,[],7,"[24, 491, 1263, 1086, 156, 354, 1769]",True,"[1162, 1164, 73, 1258, 251, 13, 1263]","[116, 17, 7]",2-28,1162,Computer science,Access modifiers,77,False,3589,Programming languages,1263,2123,https://hyperskill.org/topics/28
