id,title,use_ide,environment,description,is_beta,is_template_based,results,stages_count,n_first_prerequisites,n_last_prerequisites,language,is_deprecated,progress_id,readiness,lesson_stepik_id,preview_step,ide_files,stages_ids,url,tracks
167,Food Blog Backend,True,,"Your great-grandmother asked you to copy ""to these computers"" all the recipes that she had been collecting in her notebook for several decades. You don't like the easy ways, so you decide to build a recipe database. You will need to refresh your SQL knowledge to build a simple backend.",False,False,You will create a simple backend that will allow you to populate an SQLite3 database. You will know how to deal with the primary key auto-increment and how to use foreign keys to create relationships between the tables. Learn how to deal with many-to-many relations. Work with SQL queries and database cursor methods.,5,52,69,python,False,29-167,4,498400,,https://stepik.org/media/attachments/lesson/498400/additional_files.json,"[864, 865, 866, 867, 868]",https://hyperskill.org/projects/167,{}
151,Convoy Shipping Company,True,,"You're employed at ""Convoy"", a family transport company. Things are not going well financially, so your bosses want you to create a database to manage the company's assets in a better way and introduce scoring machines to automate some work. You will be dealing with different file formats to export data to various systems.",False,False,"You will learn how to export data from an XLSX file to a CSV format. You will prepare the data to populate an SQLite database. You will learn how scoring machines are built, and how to select which data should be exported to other systems (in JSON and XML formats).",6,55,91,python,False,29-151,4,461165,,https://stepik.org/media/attachments/lesson/461165/additional_files.json,"[795, 796, 797, 798, 799, 800]",https://hyperskill.org/projects/151,{}
127,Flashcards,True,,"When learning a new language, it can be hard to remember all the new vocabulary, which is exactly where flashcards can help. Typically, flashcards show a hint (a task or a picture) on one side and the right answer on the other. Flashcards can be used to remember any sort of data, so if you want to create a useful tool to help your learning and your programming skills, this project is for you.",False,False,"In this project, you will learn how to work with files and call them from the command line.",7,9,93,python,False,29-127,4,406082,,https://stepik.org/media/attachments/lesson/406082/additional_files.json,"[673, 674, 675, 676, 677, 678, 679]",https://hyperskill.org/projects/127,"{'2': {'level': 'nightmare', 'kind': 'graduate'}}"
176,Duplicate File Handler,True,,"Duplicate File Handler is a useful tool that can free some space on your drive. Write a handler that checks and compares files in a folder, displays the result, and removes duplicates.",False,False,"Learn how to work with files and folders. Get familiar with hashing, learn how to apply it to your tasks.",4,43,64,python,False,29-176,4,518715,,https://stepik.org/media/attachments/lesson/518715/additional_files.json,"[905, 906, 907, 908]",https://hyperskill.org/projects/176,"{'2': {'level': 'hard', 'kind': 'auto'}}"
78,Rock-Paper-Scissors,True,,"If you’ve ever wanted to create games, this project will get you started! In this project you will code a Rock-Paper-Scissors-Lizard-Spock game, a more advanced version of Rock-Paper-Scissors, which can be played against the computer.",False,False,"A playable Rock-Paper-Scissors game, with a Player vs Computer mode. Practice using arrays, the Random library, formatted strings, and algorithms.",5,16,57,python,False,29-78,4,255033,,https://stepik.org/media/attachments/lesson/255033/additional_files.json,"[431, 432, 433, 434, 435]",https://hyperskill.org/projects/78,"{'2': {'level': 'medium', 'kind': 'auto'}, '10': {'level': 'hard', 'kind': 'auto'}, '11': {'level': 'medium', 'kind': 'auto'}}"
114,Regex Engine,True,,"Regular expressions are a fundamental part of computer science and natural language processing. In this project, you will write an extendable regex engine that can handle basic regex syntax, including literals (a, b, c, etc.), wild-cards (.), and metacharacters (?, *, +, ^, $).",False,False,"Learn about the regex syntax, practice working with parsing and slicing, and get more familiar with boolean algebra and recursion.",6,25,76,python,False,29-114,4,384512,,https://stepik.org/media/attachments/lesson/384512/additional_files.json,"[619, 620, 621, 622, 623, 624]",https://hyperskill.org/projects/114,"{'2': {'level': 'hard', 'kind': 'auto'}, '11': {'level': 'hard', 'kind': 'auto'}}"
144,Linear Equations Solver,True,,"Oh, you've come this far! Sometimes it’s nice to get back to the basics — remember linear algebra from the school days? In this project, you will write a program that solves linear equations (if only you had it earlier...) It is not supposed to work with powers and radicals, but on the other hand, it will be able to handle matrices and complex numbers.",False,False,"Practice the essentials such as classes, arrays, and files, and learn to handle complex numbers and matrices.",5,53,100,python,False,29-144,4,455310,,https://stepik.org/media/attachments/lesson/455310/additional_files.json,"[776, 777, 778, 779, 780]",https://hyperskill.org/projects/144,{}
159,Memorization Tool,True,,"It would be great to remember anything at any time. Alas, our mental capacity is limited. The good thing is that there are a lot of tools to help us memorize things. In this project, we are going to create a tool for memorizing lines, poems, speeches, and other text-based materials.",False,False,"Work with the SQLAlchemy ORM and an SQLite database to create a tool for memorizing. Practice loops, lists, and various string methods.",4,29,93,python,False,29-159,4,486491,,https://stepik.org/media/attachments/lesson/486491/additional_files.json,"[826, 827, 828, 829]",https://hyperskill.org/projects/159,"{'29': {'level': 'hard', 'kind': 'auto'}}"
196,Zookeeper,True,,This short code challenge can help the local zoo look after its denizens. You will create a tool for monitoring animals and their status.,False,True,"This project is aimed at our beginners. It helps you understand some syntax basics and learn how to work with variables, data storage types such as lists, and while loops.",4,8,30,kotlin,False,29-196,4,557366,,https://stepik.org/media/attachments/lesson/557366/additional_files.json,"[975, 976, 977, 978]",https://hyperskill.org/projects/196,"{'3': {'level': 'easy', 'kind': 'auto'}, '16': {'level': 'easy', 'kind': 'auto'}, '18': {'level': 'easy', 'kind': 'auto'}}"
69,Hangman,True,,"Hangman is a popular yet grim puzzle game. A cruel computer hides a word from you, which you try to guess letter by letter. If you fail, you'll be “hanged”. If you win, you'll survive. You’ve probably played the game at least once or twice. Now you can actually create this game yourself!",False,False,"With functions, loops, lists and other variables, this is a great project for Python basics. As a cherry on top, it even includes a random module. Don’t be intimidated by the number of stages; they ensure that your dive into Python is safe and smooth.",8,2,48,python,False,29-69,4,225053,,https://stepik.org/media/attachments/lesson/225053/additional_files.json,"[372, 373, 374, 375, 376, 377, 378, 379]",https://hyperskill.org/projects/69,"{'6': {'level': 'nightmare', 'kind': 'graduate'}, '2': {'level': 'medium', 'kind': 'auto'}, '10': {'level': 'medium', 'kind': 'auto'}}"
96,Numeric Matrix Processor,True,,"Here’s a project for devoted matrix enthusiasts: learn to perform a variety of operations on matrices including addition, multiplication, finding the determinant, and dealing with inverse matrices. If you are working on your tech or math major, this project is a good chance for you to learn matrices in action and not just in your notebook.",False,False,"Apart from learning a whole lot about matrices, you will become familiar with the Math library, recursion, and the many ways of using nested lists in practice.",6,32,77,python,False,29-96,4,308175,,https://stepik.org/media/attachments/lesson/308175/additional_files.json,"[528, 529, 530, 531, 532, 533]",https://hyperskill.org/projects/96,{}
126,Simple Chatty Bot,True,,"Here, at the beginning of your programmer’s path, creating a simple console chat bot will do wonders to guide you through the basics of coding. During this journey you will also play some word and number games that you are going to implement all on your own. Pack up and let’s hit the road, my friend!",False,True,"You’ll get to know the basic syntax of Kotlin and write a simple program using variables, conditions, loops, and functions.",5,4,35,kotlin,False,29-126,4,405270,,https://stepik.org/media/attachments/lesson/405270/additional_files.json,"[668, 669, 670, 671, 672]",https://hyperskill.org/projects/126,"{'3': {'level': 'easy', 'kind': 'auto'}, '16': {'level': 'easy', 'kind': 'auto'}, '18': {'level': 'easy', 'kind': 'auto'}}"
79,Text-Based Browser,True,,"Having the option to read online documentation or find something on the Internet from the command line or terminal can really come in handy. Let's use Python to create a text-based browser. In this project, you will create a simplified browser that will ignore JS and CSS, won't have cookies, and only will show a limited set of tags. But it will still be good enough for some situations, and building it will be fun!",False,False,"In this project, you will learn how HTTP works and how to work with it in Python. You will become familiar with Python input and output. You will also need to parse HTML, so you'll get some experience with that, too.",6,24,80,python,False,29-79,4,255229,,https://stepik.org/media/attachments/lesson/255229/additional_files.json,"[436, 437, 438, 439, 440, 441]",https://hyperskill.org/projects/79,"{'2': {'level': 'hard', 'kind': 'auto'}, '10': {'level': 'nightmare', 'kind': 'auto'}, '11': {'level': 'hard', 'kind': 'auto'}}"
73,Simple Tic-Tac-Toe,True,,"Everybody remembers this paper-and-pencil game from childhood: Tic-Tac-Toe, also known as Noughts and crosses or Xs and Os. A single mistake usually costs you the game, but thankfully it is simple enough that most players discover the best strategy quickly. Let’s program Tic-Tac-Toe and get playing!",False,False,"After finishing this project, you'll get to know a lot about planning and developing a complex program from scratch, using functions, handling errors, and processing user input.",5,3,45,python,False,29-73,4,239550,,https://stepik.org/media/attachments/lesson/239550/additional_files.json,"[399, 400, 401, 402, 403]",https://hyperskill.org/projects/73,"{'6': {'level': 'nightmare', 'kind': 'graduate'}, '2': {'level': 'medium', 'kind': 'auto'}, '10': {'level': 'medium', 'kind': 'auto'}}"
156,Generating Randomness,True,,"Everyone knows that people are bad at generating random things. In this project, we will check this assumption using a small program that will predict ""random"" user actions. We'll see if you can beat it!",False,False,"In addition to raising the metaphysical question of free will, this project will teach you to work with dictionaries and lists, as well as with simple predictive models.",4,19,41,python,False,29-156,4,475510,,https://stepik.org/media/attachments/lesson/475510/additional_files.json,"[813, 814, 815, 816]",https://hyperskill.org/projects/156,"{'10': {'level': 'medium', 'kind': 'auto'}, '28': {'level': 'medium', 'kind': 'auto'}}"
82,Tic-Tac-Toe with AI,True,,"Everybody remembers this paper-and-pencil game from childhood: Tic-Tac-Toe, also known as Noughts and Crosses or X's and O's. A single mistake usually costs you the game, but thankfully it's simple enough that most players discover the best strategy quickly. Let’s program Tic-Tac-Toe and create an AI opponent to do battle with!",False,False,"After finishing this project, you'll know a lot about planning and developing a complex program from scratch, using classes and functions, handling errors, and processing user input. You will also learn to use OOP (Object-Oriented Programming) in the process.",5,35,78,python,False,29-82,4,262969,,https://stepik.org/media/attachments/lesson/262969/additional_files.json,"[452, 453, 454, 455, 456]",https://hyperskill.org/projects/82,"{'2': {'level': 'hard', 'kind': 'auto'}}"
90,Loan Calculator,True,,"Personal finances are an important part of life. Sometimes you need some extra money and decide to take a loan, or you want to buy a house using a mortgage. To make an informed decision, you need to be able to calculate different financial parameters. Let’s make a program that can help us with that!",False,False,You will practice using mathematics and Python in everyday tasks and learn how to use third-party modules and libraries. You will also learn more about different financial instruments.,4,8,34,python,False,29-90,4,279920,,https://stepik.org/media/attachments/lesson/279920/additional_files.json,"[500, 501, 502, 503]",https://hyperskill.org/projects/90,"{'6': {'level': 'hard', 'kind': 'graduate'}, '2': {'level': 'easy', 'kind': 'auto'}, '10': {'level': 'easy', 'kind': 'auto'}, '29': {'level': 'easy', 'kind': 'auto'}}"
112,Static Code Analyzer,True,,"In this project, you will create a simple static analyzer tool that finds common stylistic issues in Python code. You will get a general idea of static code analysis and expand your competence in Python.",False,False,"After completing this project, you will have a good understanding of how static source code analyzers work. You will also get more experience with object-oriented programming, regular expressions, and file processing. You will practice using the abstract syntax tree, and, last but not least, learn more about the rules of Python code style.",5,47,108,python,False,29-112,4,369660,,https://stepik.org/media/attachments/lesson/369660/additional_files.json,"[609, 610, 611, 612, 613]",https://hyperskill.org/projects/112,"{'2': {'level': 'nightmare', 'kind': 'graduate'}}"
99,Multilingual Online Translator,True,,"Everyone’s familiar with online translators. They giving us a handy way to translate on the go. In this project, you’re about to write an app that translates the words you type and gives you many usage examples based on the context.",False,False,"You will learn to work with loops and conditions, pip and packages. You’ll be talking to the web with requests and handle the data with BeautifulSoup libraries.",7,38,82,python,False,29-99,4,311846,,https://stepik.org/media/attachments/lesson/311846/additional_files.json,"[543, 544, 545, 546, 547, 548, 549]",https://hyperskill.org/projects/99,"{'2': {'level': 'hard', 'kind': 'auto'}, '11': {'level': 'hard', 'kind': 'auto'}}"
105,To-Do List,True,,A to-do list can improve your work and personal life. It relieves stress; you can be more efficient. Save time for the best things! Let's make it happen.,False,False,"Implement a to-do list app that will help you manage your tasks. Practice loops, conditions, and statement branches. Learn the basics of SQLAlchemy and manage an SQLite database in Python!",4,47,87,python,False,29-105,4,346277,,https://stepik.org/media/attachments/lesson/346277/additional_files.json,"[570, 571, 572, 573]",https://hyperskill.org/projects/105,{}
194,Coffee Machine,True,,"<p>What can be better than a cup of coffee during a break? Two cups. Press a couple of buttons on the machine, and, voil&agrave;, a burst of raw energy is in your hands. But first, we should teach the machine how to do it. In this project, you will work on a coffee machine simulator. This machine uses regular ingredients &mdash; coffee, milk, and plastic cups. Should it run out of something, it will show you a notification. Our device will serve espresso, cappuccino, and latte. And since nothing is for free, it will also charge coffee lovers for a cup.</p>",False,False,<p>Get a taste of Go. Practice functions and challenge yourself with loops and conditions to gain more experience with Go.</p>,6,7,30,go,False,29-194,4,555260,,https://stepik.org/media/attachments/lesson/555260/additional_files.json,"[965, 966, 967, 968, 969, 970]",https://hyperskill.org/projects/194,"{'25': {'level': 'easy', 'kind': 'graduate'}}"
102,HyperNews Portal,True,,"Sitting down with a coffee and reading a newspaper is pretty much a thing of the past. Most people today read the news on their laptops or phones, so online news websites are very popular. Some, like The New York Times, originate from offline press, but most new websites today were originally created as purely online resources, and they all share the same basic structure. 

In this project, you will use Django to create an online news web application.",False,False,You will learn the basics of Django: how to handle data through HTTP and work with templates. You will also gain new skills for working with JSON files and the Python DateTime type.,5,71,107,python,False,29-102,4,339506,,https://stepik.org/media/attachments/lesson/339506/additional_files.json,"[561, 562, 563, 564, 565]",https://hyperskill.org/projects/102,"{'11': {'level': 'nightmare', 'kind': 'graduate'}}"
85,Hypercar Service Center,True,,"From booking plane tickets to ordering pizza, web applications play an ever-increasing role in our daily lives. In this project, you'll use Django to create an application that manages the queue at a car service center.",False,False,"You will learn how to start a Django project, handle requests, and make templates for your HTML pages. After completing this project, you'll know how to build simple web services with Django.",5,81,110,python,False,29-85,4,268504,,https://stepik.org/media/attachments/lesson/268504/additional_files.json,"[470, 471, 472, 473, 474]",https://hyperskill.org/projects/85,"{'11': {'level': 'nightmare', 'kind': 'graduate'}}"
74,Smart Calculator,True,,"Calculators are a very helpful tool that we all use on a regular basis. Why not create one yourself, and make it really special? In this project, you will write a calculator that not only adds, subtracts, and multiplies, but is also smart enough to remember your previous calculations.",False,False,"Apart from writing a useful program (everyone uses calculators!), you will learn a lot about lists, strings and dictionaries. You will also get closer experience with 2 important data structures: the stack and the queue.",7,31,90,python,False,29-74,4,240846,,https://stepik.org/media/attachments/lesson/240846/additional_files.json,"[409, 410, 411, 412, 413, 414, 415]",https://hyperskill.org/projects/74,"{'2': {'level': 'nightmare', 'kind': 'auto'}}"
183,To-Do List,True,,"Have you ever had the feeling that you're missing something important? If so, to-do lists can be of help. A clear outline of your daily tasks will help you stay composed and mentally focused. In this project, you will create a simple to-do list that can manage your tasks.",False,False,"To complete the project, learn the basics of HTML, CSS, and JavaScript. You will work with several Javascript functions, loops, and objects. Learn how you can store the data in local storage.",4,39,74,javascript,False,29-183,4,531589,,https://stepik.org/media/attachments/lesson/531589/additional_files.json,"[927, 928, 929, 930]",https://hyperskill.org/projects/183,"{'5': {'level': 'hard', 'kind': 'graduate'}}"
